cohort_month,acquisition_channel_id,cohort_month_index,cohort_starting_customers,active_retained_customers,retention_rate,period_net_margin,cumulative_net_margin,channel_cac,cumulative_margin_ltv,net_capital_recovery_dollars,cumulative_ltv_to_cac_ratio,payback_status
2024-03-01,organic_search,0,48,48,1.0,2717.71,2717.71,0.0,56.62,2717.71,,Organic / Pure Profit
2024-03-01,organic_search,1,48,3,0.0625,175.71,2893.42,0.0,60.28,2893.42,,Organic / Pure Profit
2024-03-01,organic_search,2,48,4,0.0833,149.04,3042.46,0.0,63.38,3042.46,,Organic / Pure Profit
2024-03-01,organic_search,3,48,2,0.0417,149.74,3192.20,0.0,66.5,3192.2,,Organic / Pure Profit
2024-03-01,organic_search,4,48,2,0.0417,118.00,3310.20,0.0,68.96,3310.2,,Organic / Pure Profit
2024-05-01,creator_network,0,57,57,1.0,2300.35,2300.35,31.09,40.36,528.2199999999998,1.3,Breakeven / Recovered
2024-05-01,creator_network,1,57,4,0.0702,120.29,2420.64,31.09,42.47,648.5099999999998,1.37,Breakeven / Recovered
2024-05-01,creator_network,2,57,4,0.0702,143.33,2563.97,31.09,44.98,791.8399999999997,1.45,Breakeven / Recovered
2024-05-01,creator_network,3,57,1,0.0175,46.60,2610.57,31.09,45.8,838.44,1.47,Breakeven / Recovered
2024-07-01,organic_search,0,52,52,1.0,2204.75,2204.75,0.0,42.4,2204.75,,Organic / Pure Profit
2024-07-01,organic_search,1,52,2,0.0385,161.86,2366.61,0.0,45.51,2366.61,,Organic / Pure Profit
2024-07-01,organic_search,2,52,2,0.0385,83.42,2450.03,0.0,47.12,2450.03,,Organic / Pure Profit
2024-07-01,organic_search,3,52,2,0.0385,131.40,2581.43,0.0,49.64,2581.43,,Organic / Pure Profit
2024-07-01,organic_search,5,52,1,0.0192,-34.51,2546.92,0.0,48.98,2546.92,,Organic / Pure Profit
2024-08-01,organic_search,0,65,65,1.0,2892.17,2892.17,0.0,44.49,2892.17,,Organic / Pure Profit
2024-08-01,organic_search,1,65,5,0.0769,229.55,3121.72,0.0,48.03,3121.72,,Organic / Pure Profit
2024-08-01,organic_search,2,65,5,0.0769,314.64,3436.36,0.0,52.87,3436.36,,Organic / Pure Profit
2024-08-01,organic_search,6,65,1,0.0154,20.13,3456.49,0.0,53.18,3456.49,,Organic / Pure Profit
2024-08-01,organic_search,8,65,1,0.0154,63.40,3519.89,0.0,54.15,3519.89,,Organic / Pure Profit
2024-09-01,creator_network,0,74,74,1.0,2563.65,2563.65,34.79,34.64,-10.809999999999945,1.0,Unrecovered Capital
2024-09-01,creator_network,1,74,4,0.0541,152.16,2715.81,34.79,36.7,141.3499999999999,1.05,Breakeven / Recovered
2024-09-01,creator_network,3,74,2,0.027,155.70,2871.51,34.79,38.8,297.0500000000002,1.12,Breakeven / Recovered
2024-10-01,direct,0,35,35,1.0,1993.34,1993.34,0.0,56.95,1993.34,,Organic / Pure Profit
2024-10-01,direct,1,35,2,0.0571,91.17,2084.51,0.0,59.56,2084.51,,Organic / Pure Profit
2024-10-01,direct,2,35,2,0.0571,119.39,2203.90,0.0,62.97,2203.9,,Organic / Pure Profit
2024-10-01,direct,3,35,1,0.0286,63.51,2267.41,0.0,64.78,2267.41,,Organic / Pure Profit
2024-12-01,organic_search,0,52,52,1.0,2358.90,2358.90,0.0,45.36,2358.9,,Organic / Pure Profit
2024-12-01,organic_search,1,52,1,0.0192,72.87,2431.77,0.0,46.76,2431.77,,Organic / Pure Profit
2024-12-01,organic_search,2,52,5,0.0962,254.07,2685.84,0.0,51.65,2685.84,,Organic / Pure Profit
2024-12-01,organic_search,3,52,2,0.0385,180.14,2865.98,0.0,55.12,2865.98,,Organic / Pure Profit
2024-12-01,organic_search,4,52,1,0.0192,62.12,2928.10,0.0,56.31,2928.1,,Organic / Pure Profit
2024-12-01,organic_search,5,52,2,0.0385,121.07,3049.17,0.0,58.64,3049.17,,Organic / Pure Profit
