acquisition_channel_id,forecast_month_t,weibull_survival_s_t,expected_period_margin,discount_factor,discounted_period_margin,cumulative_undiscounted_ltv,cumulative_dcf_ltv,allocated_cac,dcf_ltv_to_cac_ratio,undiscounted_payback_flag,dcf_payback_flag
organic_search,0,1.0,46.0,1.0,46.0,46.0,46.0,0.0,,1,1
organic_search,1,0.7278,23.29,0.9906,23.07,69.29,69.07,0.0,,1,1
organic_search,2,0.5707,18.26,0.9813,17.92,87.55,86.99,0.0,,1,1
organic_search,3,0.4575,14.64,0.9721,14.23,102.19,101.22,0.0,,1,1
organic_search,4,0.3715,11.89,0.9629,11.45,114.08,112.67,0.0,,1,1
organic_search,5,0.3045,9.75,0.9539,9.3,123.83,121.97,0.0,,1,1
organic_search,6,0.2514,8.04,0.9449,7.6,131.87,129.57,0.0,,1,1
organic_search,7,0.2087,6.68,0.936,6.25,138.55,135.82,0.0,,1,1
organic_search,8,0.1741,5.57,0.9272,5.17,144.12,140.99,0.0,,1,1
organic_search,9,0.1458,4.67,0.9185,4.29,148.79,145.27,0.0,,1,1
organic_search,10,0.1226,3.92,0.9099,3.57,152.71,148.84,0.0,,1,1
organic_search,11,0.1034,3.31,0.9013,2.98,156.02,151.82,0.0,,1,1
organic_search,12,0.0874,2.8,0.8929,2.5,158.81,154.32,0.0,,1,1
organic_search,13,0.0741,2.37,0.8845,2.1,161.18,156.42,0.0,,1,1
organic_search,14,0.0629,2.01,0.8762,1.76,163.2,158.18,0.0,,1,1
organic_search,15,0.0536,1.71,0.8679,1.49,164.91,159.67,0.0,,1,1
organic_search,16,0.0457,1.46,0.8598,1.26,166.37,160.92,0.0,,1,1
organic_search,17,0.039,1.25,0.8517,1.06,167.62,161.99,0.0,,1,1
organic_search,18,0.0334,1.07,0.8437,0.9,168.69,162.89,0.0,,1,1
organic_search,19,0.0286,0.92,0.8357,0.77,169.61,163.66,0.0,,1,1
organic_search,20,0.0246,0.79,0.8279,0.65,170.4,164.31,0.0,,1,1
organic_search,21,0.0211,0.68,0.8201,0.55,171.07,164.86,0.0,,1,1
organic_search,22,0.0182,0.58,0.8124,0.47,171.65,165.33,0.0,,1,1
organic_search,23,0.0157,0.5,0.8048,0.4,172.16,165.74,0.0,,1,1
organic_search,24,0.0135,0.43,0.7972,0.35,172.59,166.08,0.0,,1,1
direct,0,1.0,44.0,1.0,44.0,44.0,44.0,0.0,,1,1
direct,1,0.6915,19.36,0.9906,19.18,63.36,63.18,0.0,,1,1
direct,2,0.5214,14.6,0.9813,14.33,77.96,77.5,0.0,,1,1
direct,3,0.4033,11.29,0.9721,10.98,89.25,88.48,0.0,,1,1
direct,4,0.3167,8.87,0.9629,8.54,98.12,97.02,0.0,,1,1
direct,5,0.2514,7.04,0.9539,6.71,105.16,103.73,0.0,,1,1
direct,6,0.2012,5.63,0.9449,5.32,110.79,109.06,0.0,,1,1
direct,7,0.1621,4.54,0.936,4.25,115.33,113.31,0.0,,1,1
direct,8,0.1313,3.68,0.9272,3.41,119.01,116.72,0.0,,1,1
direct,9,0.1069,2.99,0.9185,2.75,122.0,119.47,0.0,,1,1
direct,10,0.0874,2.45,0.9099,2.23,124.45,121.69,0.0,,1,1
direct,11,0.0717,2.01,0.9013,1.81,126.46,123.5,0.0,,1,1
direct,12,0.059,1.65,0.8929,1.47,128.11,124.98,0.0,,1,1
direct,13,0.0487,1.36,0.8845,1.21,129.47,126.18,0.0,,1,1
direct,14,0.0403,1.13,0.8762,0.99,130.6,127.17,0.0,,1,1
direct,15,0.0334,0.94,0.8679,0.81,131.53,127.98,0.0,,1,1
direct,16,0.0278,0.78,0.8598,0.67,132.31,128.65,0.0,,1,1
direct,17,0.0231,0.65,0.8517,0.55,132.96,129.2,0.0,,1,1
direct,18,0.0193,0.54,0.8437,0.46,133.5,129.66,0.0,,1,1
direct,19,0.0161,0.45,0.8357,0.38,133.95,130.04,0.0,,1,1
direct,20,0.0135,0.38,0.8279,0.31,134.33,130.35,0.0,,1,1
direct,21,0.0113,0.32,0.8201,0.26,134.65,130.61,0.0,,1,1
direct,22,0.0095,0.27,0.8124,0.22,134.92,130.83,0.0,,1,1
direct,23,0.008,0.22,0.8048,0.18,135.14,131.01,0.0,,1,1
direct,24,0.0068,0.19,0.7972,0.15,135.33,131.16,0.0,,1,1
google_ads,0,1.0,42.0,1.0,42.0,42.0,42.0,46.0,0.91,0,0
google_ads,1,0.6362,15.9,0.9906,15.75,57.9,57.75,46.0,1.26,1,1
google_ads,2,0.45,11.25,0.9813,11.04,69.15,68.79,46.0,1.5,1,1
google_ads,3,0.3284,8.21,0.9721,7.98,77.37,76.78,46.0,1.67,1,1
google_ads,4,0.2442,6.11,0.9629,5.88,83.47,82.66,46.0,1.8,1,1
google_ads,5,0.184,4.6,0.9539,4.39,88.07,87.04,46.0,1.89,1,1
google_ads,6,0.1401,3.5,0.9449,3.31,91.57,90.35,46.0,1.96,1,1
google_ads,7,0.1075,2.69,0.936,2.51,94.26,92.87,46.0,2.02,1,1
google_ads,8,0.083,2.08,0.9272,1.92,96.34,94.79,46.0,2.06,1,1
google_ads,9,0.0645,1.61,0.9185,1.48,97.95,96.27,46.0,2.09,1,1
google_ads,10,0.0504,1.26,0.9099,1.15,99.21,97.42,46.0,2.12,1,1
google_ads,11,0.0395,0.99,0.9013,0.89,100.2,98.31,46.0,2.14,1,1
google_ads,12,0.0311,0.78,0.8929,0.69,100.97,99.0,46.0,2.15,1,1
google_ads,13,0.0246,0.61,0.8845,0.54,101.59,99.55,46.0,2.16,1,1
google_ads,14,0.0195,0.49,0.8762,0.43,102.08,99.97,46.0,2.17,1,1
google_ads,15,0.0155,0.39,0.8679,0.34,102.46,100.31,46.0,2.18,1,1
google_ads,16,0.0124,0.31,0.8598,0.27,102.77,100.58,46.0,2.19,1,1
google_ads,17,0.0099,0.25,0.8517,0.21,103.02,100.79,46.0,2.19,1,1
google_ads,18,0.0079,0.2,0.8437,0.17,103.22,100.95,46.0,2.19,1,1
google_ads,19,0.0064,0.16,0.8357,0.13,103.38,101.09,46.0,2.2,1,1
google_ads,20,0.0051,0.13,0.8279,0.11,103.5,101.19,46.0,2.2,1,1
google_ads,21,0.0041,0.1,0.8201,0.08,103.61,101.28,46.0,2.2,1,1
google_ads,22,0.0033,0.08,0.8124,0.07,103.69,101.34,46.0,2.2,1,1
google_ads,23,0.0027,0.07,0.8048,0.05,103.76,101.4,46.0,2.2,1,1
google_ads,24,0.0022,0.05,0.7972,0.04,103.81,101.44,46.0,2.21,1,1
meta_ads,0,1.0,38.0,1.0,38.0,38.0,38.0,38.0,1.0,1,1
