acquisition_channel_id,tenure_month_t,survival_probability_s_t,ci_lower_bound,ci_upper_bound
organic_search,0,1.0,1.0,1.0
organic_search,1,0.7278,0.7183,0.7374
organic_search,2,0.5707,0.5557,0.5857
organic_search,3,0.4575,0.4385,0.4764
organic_search,4,0.3715,0.3495,0.3935
organic_search,5,0.3045,0.2802,0.3289
organic_search,6,0.2514,0.2252,0.2776
organic_search,7,0.2087,0.181,0.2364
organic_search,8,0.1741,0.1452,0.203
organic_search,9,0.1458,0.1159,0.1757
organic_search,10,0.1226,0.0919,0.1533
organic_search,11,0.1034,0.072,0.1347
organic_search,12,0.0874,0.0554,0.1193
organic_search,13,0.0741,0.0417,0.1065
organic_search,14,0.0629,0.0301,0.0957
organic_search,15,0.0536,0.0204,0.0867
organic_search,16,0.0457,0.0123,0.0791
organic_search,17,0.039,0.0054,0.0727
organic_search,18,0.0334,0.0,0.0672
organic_search,19,0.0286,0.0,0.0626
organic_search,20,0.0246,0.0,0.0587
organic_search,21,0.0211,0.0,0.0554
organic_search,22,0.0182,0.0,0.0526
organic_search,23,0.0157,0.0,0.0501
organic_search,24,0.0135,0.0,0.0481
direct,0,1.0,1.0,1.0
direct,1,0.6915,0.6791,0.7038
direct,2,0.5214,0.5022,0.5405
direct,3,0.4033,0.3794,0.4271
direct,4,0.3167,0.2894,0.344
direct,5,0.2514,0.2215,0.2813
direct,6,0.2012,0.1693,0.2332
direct,7,0.1621,0.1286,0.1956
direct,8,0.1313,0.0966,0.1661
direct,9,0.1069,0.0712,0.1426
direct,10,0.0874,0.0509,0.1239
direct,11,0.0717,0.0345,0.1088
direct,12,0.059,0.0213,0.0966
direct,13,0.0487,0.0106,0.0867
direct,14,0.0403,0.0019,0.0787
direct,15,0.0334,0.0,0.0721
direct,16,0.0278,0.0,0.0667
direct,17,0.0231,0.0,0.0622
direct,18,0.0193,0.0,0.0585
direct,19,0.0161,0.0,0.0555
direct,20,0.0135,0.0,0.053
direct,21,0.0113,0.0,0.0509
direct,22,0.0095,0.0,0.0492
direct,23,0.008,0.0,0.0477
direct,24,0.0068,0.0,0.0465
google_ads,0,1.0,1.0,1.0
google_ads,1,0.6362,0.6198,0.6525
google_ads,2,0.45,0.4253,0.4748
google_ads,3,0.3284,0.2982,0.3587
google_ads,4,0.2442,0.2102,0.2782
google_ads,5,0.184,0.1473,0.2207
google_ads,6,0.1401,0.1014,0.1788
google_ads,7,0.1075,0.0673,0.1476
google_ads,8,0.083,0.0418,0.1243
google_ads,9,0.0645,0.0224,0.1066
google_ads,10,0.0504,0.0076,0.0931
google_ads,11,0.0395,0.0,0.0827
google_ads,12,0.0311,0.0,0.0747
google_ads,13,0.0246,0.0,0.0685
google_ads,14,0.0195,0.0,0.0636
google_ads,15,0.0155,0.0,0.0598
google_ads,16,0.0124,0.0,0.0568
google_ads,17,0.0099,0.0,0.0544
google_ads,18,0.0079,0.0,0.0526
google_ads,19,0.0064,0.0,0.0511
google_ads,20,0.0051,0.0,0.0499
google_ads,21,0.0041,0.0,0.0489
google_ads,22,0.0033,0.0,0.0482
google_ads,23,0.0027,0.0,0.0476
google_ads,24,0.0022,0.0,0.0471
meta_ads,0,1.0,1.0,1.0
meta_ads,1,0.5707,0.5493,0.5922
meta_ads,2,0.3715,0.3401,0.4029
meta_ads,3,0.2514,0.214,0.2888
meta_ads,4,0.1741,0.1328,0.2154
meta_ads,5,0.1226,0.0787,0.1665
meta_ads,6,0.0874,0.0418,0.133
meta_ads,7,0.0629,0.0161,0.1098
meta_ads,8,0.0457,0.0,0.0934
meta_ads,9,0.0334,0.0,0.0817
meta_ads,10,0.0246,0.0,0.0734
meta_ads,11,0.0182,0.0,0.0673
meta_ads,12,0.0135,0.0,0.0628
meta_ads,13,0.0101,0.0,0.0596
meta_ads,14,0.0076,0.0,0.0572
meta_ads,15,0.0057,0.0,0.0554
meta_ads,16,0.0043,0.0,0.0541
meta_ads,17,0.0033,0.0,0.0531
meta_ads,18,0.0025,0.0,0.0524
meta_ads,19,0.0019,0.0,0.0518
meta_ads,20,0.0014,0.0,0.0514
meta_ads,21,0.0011,0.0,0.051
meta_ads,22,0.0008,0.0,0.0508
meta_ads,23,0.0007,0.0,0.0506
meta_ads,24,0.0005,0.0,0.0505
creator_network,0,1.0,1.0,1.0
creator_network,1,0.5143,0.4851,0.5434
creator_network,2,0.3091,0.2677,0.3506
creator_network,3,0.1946,0.1462,0.2429
creator_network,4,0.1259,0.0734,0.1783
creator_network,5,0.083,0.028,0.138
creator_network,6,0.0556,0.0,0.1122
creator_network,7,0.0377,0.0,0.0954
creator_network,8,0.0258,0.0,0.0842
creator_network,9,0.0178,0.0,0.0767
creator_network,10,0.0124,0.0,0.0716
creator_network,11,0.0086,0.0,0.0681
creator_network,12,0.0061,0.0,0.0657
creator_network,13,0.0043,0.0,0.064
creator_network,14,0.0031,0.0,0.0629
creator_network,15,0.0022,0.0,0.0621
creator_network,16,0.0016,0.0,0.0615
creator_network,17,0.0011,0.0,0.0611
creator_network,18,0.0008,0.0,0.0608
creator_network,19,0.0006,0.0,0.0606
creator_network,20,0.0004,0.0,0.0604
creator_network,21,0.0003,0.0,0.0603
creator_network,22,0.0002,0.0,0.0602
creator_network,23,0.0002,0.0,0.0602
creator_network,24,0.0001,0.0,0.0601
