order_id,customer_id,order_timestamp,gross_order_value,discount_amount,cogs_amount,refund_amount,order_status
ORD_0000001,CUST_000001,2024-11-26 03:50:49,86.71,8.67,29.91,0.0,completed
ORD_0000002,CUST_000003,2025-07-27 01:51:20,117.6,0.0,40.2,117.6,refunded
ORD_0000003,CUST_000004,2025-05-12 13:36:47,81.4,8.14,26.55,0.0,completed
ORD_0000004,CUST_000005,2024-05-10 19:04:56,94.72,14.21,35.7,44.19,completed
ORD_0000005,CUST_000006,2024-05-18 02:11:12,125.63,0.0,42.15,0.0,completed
ORD_0000006,CUST_000007,2024-02-12 09:18:40,101.7,15.26,33.19,101.7,refunded
ORD_0000007,CUST_000007,2024-02-28 15:18:40,70.21,10.53,25.16,70.21,refunded
ORD_0000008,CUST_000008,2025-10-18 19:18:36,125.13,0.0,43.81,125.13,refunded
ORD_0000009,CUST_000009,2025-05-21 00:07:05,86.46,17.29,31.18,0.0,completed
ORD_0000010,CUST_000010,2025-07-10 13:53:05,108.64,0.0,36.46,0.0,completed
ORD_0000011,CUST_000011,2024-01-05 19:20:42,43.36,0.0,16.38,0.0,completed
ORD_0000012,CUST_000012,2025-12-26 15:22:17,119.08,0.0,41.96,0.0,completed
ORD_0000013,CUST_000013,2025-09-29 10:52:43,60.45,0.0,22.14,0.0,completed
ORD_0000014,CUST_000014,2024-07-04 13:42:44,95.54,0.0,35.61,0.0,completed
ORD_0000015,CUST_000015,2024-06-12 16:58:02,65.01,0.0,21.48,0.0,completed
ORD_0000016,CUST_000016,2024-06-02 13:21:54,97.68,0.0,31.75,0.0,completed
ORD_0000017,CUST_000017,2024-10-21 17:23:18,99.32,0.0,33.41,0.0,completed
ORD_0000018,CUST_000018,2025-03-31 11:35:41,122.16,0.0,39.47,0.0,completed
ORD_0000019,CUST_000019,2025-01-30 23:10:46,107.47,0.0,36.08,0.0,completed
ORD_0000020,CUST_000019,2025-03-25 13:10:46,129.91,0.0,48.94,0.0,completed
ORD_0000021,CUST_000020,2024-09-30 03:24:59,111.78,11.18,37.12,0.0,completed
ORD_0000022,CUST_000021,2025-05-26 19:44:55,78.04,7.8,28.88,0.0,completed
ORD_0000023,CUST_000022,2024-05-04 13:35:43,105.34,10.53,39.78,0.0,completed
ORD_0000024,CUST_000023,2024-09-08 23:39:36,96.8,0.0,33.93,0.0,completed
ORD_0000025,CUST_000024,2024-11-19 20:54:36,98.43,0.0,31.93,0.0,completed
ORD_0000026,CUST_000025,2025-01-21 16:34:54,92.67,9.27,34.63,0.0,completed
ORD_0000027,CUST_000026,2025-08-12 23:36:07,134.47,0.0,47.15,0.0,completed
ORD_0000028,CUST_000027,2024-07-23 05:16:23,109.44,16.42,38.08,0.0,completed
ORD_0000029,CUST_000028,2025-03-28 23:05:13,38.54,0.0,13.63,0.0,completed
ORD_0000030,CUST_000029,2025-04-30 11:45:44,126.4,25.28,45.16,126.4,refunded
ORD_0000031,CUST_000030,2024-02-19 05:34:16,72.91,7.29,26.3,0.0,completed
ORD_0000032,CUST_000031,2025-05-10 08:55:35,94.53,0.0,30.49,0.0,completed
ORD_0000033,CUST_000032,2024-06-06 19:27:27,99.64,14.95,34.51,0.0,completed
ORD_0000034,CUST_000033,2024-03-13 02:09:35,70.51,7.05,23.14,0.0,completed
ORD_0000035,CUST_000034,2025-12-20 03:42:52,70.13,0.0,24.48,0.0,completed
ORD_0000036,CUST_000035,2025-12-23 18:05:06,72.08,14.42,23.2,0.0,completed
ORD_0000037,CUST_000036,2025-09-03 15:53:21,48.64,4.86,17.44,0.0,completed
ORD_0000038,CUST_000037,2024-10-20 20:29:12,75.1,11.26,24.6,0.0,completed
ORD_0000039,CUST_000038,2024-04-30 09:26:56,84.52,12.68,28.15,0.0,completed
ORD_0000040,CUST_000039,2025-06-03 23:32:42,115.9,0.0,41.8,0.0,completed
ORD_0000041,CUST_000040,2025-01-15 01:20:48,100.49,0.0,38.15,0.0,completed
ORD_0000042,CUST_000040,2025-03-04 08:20:48,51.64,5.16,18.46,0.0,completed
ORD_0000043,CUST_000041,2024-04-23 17:11:05,93.04,9.3,35.09,0.0,completed
ORD_0000044,CUST_000042,2025-02-14 03:02:04,77.9,0.0,25.64,0.0,completed
ORD_0000045,CUST_000043,2024-02-20 21:33:11,124.21,0.0,43.79,0.0,completed
ORD_0000046,CUST_000043,2024-04-04 19:33:11,155.51,0.0,54.85,0.0,completed
ORD_0000047,CUST_000043,2024-06-30 00:33:11,100.02,0.0,32.92,0.0,completed
ORD_0000048,CUST_000043,2024-09-16 07:33:11,121.81,0.0,46.09,0.0,completed
ORD_0000049,CUST_000044,2025-11-09 22:38:21,77.35,7.74,28.98,0.0,completed
ORD_0000050,CUST_000045,2024-08-23 06:05:42,93.29,13.99,33.01,0.0,completed
ORD_0000051,CUST_000046,2025-06-26 17:00:59,68.91,13.78,23.18,0.0,completed
ORD_0000052,CUST_000047,2024-10-17 10:44:44,113.2,0.0,41.56,0.0,completed
ORD_0000053,CUST_000048,2025-03-18 14:40:12,96.81,0.0,31.12,0.0,completed
